"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_indec_id"
603,"2013-08-08 02:30:00","San Juan","San Juan","SAN JUAN","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-09-10 13:48:55.333","Call Center","2013-09-10 12:29:42.403","70"
604,"2013-09-07 01:30:00","Buenos Aires","Lomas de Zamora","","Por aspecto físico","","","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-09-11 09:59:48.170","Call Center","2013-09-10 13:31:40.350","06"
605,"2013-09-14 05:30:00","Buenos Aires","Lomas de Zamora","Temperley","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","","Agresión física","","Derivado","2013-10-02 13:56:40.863","Página web de RENCAP ","2013-09-14 14:28:50.230","06"
606,"2013-09-15 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Racial","Presencia de menores","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2013-09-20 13:28:38.013","Página web de RENCAP ","2013-09-15 15:35:12.457","02"
613,"2013-09-28 20:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-10-01 14:33:33.540","Página web de RENCAP ","2013-09-30 15:11:54.377","06"
366,"2012-07-07 04:00:00","Buenos Aires","San Nicolás de Los Arroyos","","Por orientacion sexual","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-07-11 10:21:18.710","Página web de RENCAP ","2012-07-10 19:44:26.247","06"
367,"2012-07-06 00:00:00","Buenos Aires","Junín","Junín","","","En el acceso local","Controladores","","","Derivado","2012-07-11 14:17:20.930","Call Center","2012-07-11 12:39:16.163","06"
368,"2012-07-08 06:00:00","Buenos Aires","Vicente López","","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-07-12 13:22:52.373","Call Center","2012-07-12 11:08:14.840","06"
369,"2012-07-08 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2012-07-16 15:08:11.230","Call Center","2012-07-16 14:01:24.723","02"
370,"2012-07-15 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión física","","Derivado","2012-07-16 15:12:41.357","Call Center","2012-07-16 14:56:19.377","02"
371,"2012-07-18 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Saavedra","","Por aspecto físico","Presencia de menores","En el acceso local","Controladores","","","Desestimado","2012-08-02 15:52:50.750","Call Center","2012-07-18 13:46:32.587","02"
372,"2012-07-15 03:00:00","Buenos Aires","Salto","Salto","","","En el interior del local","Controladores","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-07-23 10:57:50.403","Call Center","2012-07-19 11:05:17.197","06"
373,"2012-07-13 03:00:00","Córdoba","Villa María","","Racial","","En el acceso local","Controladores","","","Derivado","2012-07-23 11:01:54.357","Call Center","2012-07-19 13:19:05.703","14"
374,"2012-07-20 01:10:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","","","","Derivado","2012-08-02 15:14:03.293","Página web de RENCAP ","2012-07-20 15:08:38.617","02"
375,"2012-07-21 04:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2012-07-24 10:48:52.977","Call Center","2012-07-23 11:19:26.523","06"
376,"2012-07-20 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-07-26 10:35:21.523","Call Center","2012-07-25 15:35:49.617","02"
377,"2012-07-21 05:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-07-27 13:58:57.193","Call Center","2012-07-26 13:44:06.660","06"
378,"2012-07-15 04:15:00","Buenos Aires","Salto","Salto","","","En el interior del local - En las proximidades del local","Controladores - Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2012-08-02 15:56:09.167","Página web de RENCAP ","2012-07-26 23:40:18.223","06"
379,"2012-04-08 04:26:00","Buenos Aires","Quilmes","Quilmes Oeste","","El personal de control no esta identificado","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-08-06 14:38:36.443","Página web de RENCAP ","2012-08-04 19:31:31.917","06"
380,"2012-04-08 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-08-14 14:41:24.283","Página web de RENCAP ","2012-08-06 14:00:35.093","02"
381,"2012-05-08 02:18:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-08-09 12:39:17.133","Página web de RENCAP ","2012-08-07 13:26:39.310","02"
382,"2012-04-08 01:12:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Desestimado","2012-08-27 10:14:32.707","Página web de RENCAP ","2012-08-08 20:11:56.677","02"
383,"2012-07-28 01:00:00","Santa Fé","Santa Fe","Santa Fe","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-08-17 11:35:29.660","Call Center","2012-08-16 14:02:39.413","82"
384,"2012-08-10 08:00:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-08-24 11:38:43.517","Call Center","2012-08-22 13:07:35.480","06"
385,"2012-08-18 01:30:00","Buenos Aires","Bahía Blanca","Bahía Blanca","Por aspecto físico - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-08-28 12:44:04.753","Call Center","2012-08-22 19:26:05.620","06"
386,"2012-08-26 03:30:00","Buenos Aires","La Matanza","Ramos Mejía","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-08-28 16:02:15.383","Call Center","2012-08-27 12:26:11.910","06"
387,"2012-08-27 02:00:00","Buenos Aires","Moreno","Moreno","Por orientacion sexual","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-08-28 13:33:05.683","Call Center","2012-08-27 16:26:31.240","06"
388,"2012-08-26 02:30:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","","","Derivado","2012-08-28 11:27:42.283","Página web de RENCAP ","2012-08-27 20:41:35.150","06"
389,"2012-08-26 02:45:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2012-08-28 11:30:46.973","Página web de RENCAP ","2012-08-27 20:48:05.953","06"
390,"2012-04-08 03:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-08-31 11:30:37.913","Página web de RENCAP ","2012-08-28 07:25:40.020","02"
391,"2012-04-08 00:12:00","Ciudad Autónoma de Buenos Aires","Barrio Liniers","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","Agresión verbal - Agresión física","","Desestimado","2012-09-27 13:42:28.203","Página web de RENCAP ","2012-08-30 17:05:00.240","02"
392,"2012-04-08 02:40:00","Buenos Aires","San Miguel","Bella Vista","","El personal de control no esta identificado","En el interior del local - En el acceso local - En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Desestimado","2012-09-20 10:53:34.533","Página web de RENCAP ","2012-08-31 19:05:08.067","06"
393,"2012-04-08 02:40:00","Buenos Aires","San Miguel","Bella Vista","","","En el interior del local - En el acceso local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Desestimado","2012-09-18 15:23:42.537","Página web de RENCAP ","2012-08-31 19:18:51.590","06"
394,"2012-02-09 02:00:00","Buenos Aires","Lanús","Lanús","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-09-20 10:54:59.960","Página web de RENCAP ","2012-09-02 16:03:11.127","06"
395,"2012-01-09 02:00:00","Buenos Aires","Tres de Febrero","Lomas del Palomar","Por indumentaria - Por ideologia","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-09-07 12:56:44.610","Página web de RENCAP ","2012-09-03 12:54:28.843","06"
396,"2012-01-09 03:30:00","Misiones","Posadas","POSADAS","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores - Policias","Agresión física","","Derivado","2012-10-02 13:31:35.880","Página web de RENCAP ","2012-09-08 00:02:56.687","54"
397,"2012-08-09 20:40:00","Tierra del Fuego","Ushuaia","USHUAIA","Por aspecto físico - Por indumentaria","","En el interior del local - En el acceso local","Personal de empresas de seguridad - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Desestimado","2012-09-20 10:51:08.937","Página web de RENCAP ","2012-09-10 11:45:25.797","94"
398,"2012-09-09 07:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personal de empresas de seguridad","Agresión física","Se hizo denuncia policial","Derivado","2012-09-11 15:15:54.460","Página web de RENCAP ","2012-09-10 14:57:02.203","02"
399,"2012-02-09 01:20:00","Santa Fé","Santa Fe","Santa Fe","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad","","Se solicitó asistencia policial","Derivado","2012-09-21 10:54:21.833","Página web de RENCAP ","2012-09-19 15:44:06.057","82"
400,"2012-09-09 04:30:00","Buenos Aires","La Matanza","Gonzalez Catán","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-10-01 11:57:51.983","Call Center","2012-09-21 10:00:05.420","06"
401,"2012-09-22 02:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por indumentaria","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-09-27 13:47:54.217","Página web de RENCAP ","2012-09-22 21:32:10.250","06"
402,"2012-08-09 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-09-26 13:33:53.810","Página web de RENCAP ","2012-09-23 21:47:07.907","02"
403,"2012-01-09 00:01:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Urquiza","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-10-01 11:12:13.060","Página web de RENCAP ","2012-09-27 15:16:53.587","02"
404,"2012-09-23 05:30:00","Buenos Aires","Quilmes","Quilmes","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-10-02 13:41:55.593","Call Center","2012-09-28 12:08:35.257","06"
405,"2012-01-09 23:30:00","Tucumán","San Miguel de Tucumán","SAN MIGUEL DE TUCUMAN","Por aspecto físico - Por indumentaria","","En el acceso local","Personal de empresas de seguridad - Policias","Agresión física","","Derivado","2012-10-05 16:20:44.840","Página web de RENCAP ","2012-09-28 15:16:35.480","90"
406,"2012-09-27 21:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-10-01 10:55:16.293","Call Center","2012-09-28 15:26:13.437","02"
407,"2012-09-23 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Pueyrredón","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-10-01 11:05:10.080","Call Center","2012-09-28 15:32:07.947","02"
408,"2012-09-09 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por aspecto físico","","","","","","Desestimado","2012-10-01 11:07:19.793","Página web de RENCAP ","2012-09-28 15:33:30.630","02"
409,"2012-08-06 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia","En el acceso local","","","","Derivado","2012-10-05 12:51:19.180","Página web de RENCAP ","2012-09-28 22:35:24.553","02"
410,"2012-01-10 04:15:00","Chubut","Puerto Madryn","PUERTO MADRYN","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-11-16 14:59:53.887","Página web de RENCAP ","2012-09-30 07:15:28.027","26"
411,"2012-01-10 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2012-10-02 13:35:06.247","Página web de RENCAP ","2012-10-01 19:17:12.090","02"
412,"2012-10-02 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-10-02 14:31:27.537","Call Center","2012-10-02 13:36:42.997","02"
413,"2012-01-10 15:00:00","Buenos Aires","Quilmes","Quilmes","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad","","","Derivado","2012-10-04 09:45:56.333","Página web de RENCAP ","2012-10-03 16:04:16.317","06"
414,"2012-10-02 00:30:00","Buenos Aires","Quilmes","Quilmes","Por orientacion sexual","","En el interior del local","Controladores","","","Derivado","2012-10-09 10:21:56.780","Call Center","2012-10-05 15:03:16.637","06"
415,"2012-05-10 01:45:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Ortúzar","","","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-10-15 14:28:05.470","Página web de RENCAP ","2012-10-05 18:42:06.960","02"
416,"2012-06-10 02:00:00","Buenos Aires","Esteban Echeverría","Monte Grande","Por aspecto físico - Por indumentaria - Por ideologia","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-10-10 12:34:54.317","Página web de RENCAP ","2012-10-06 11:43:28.513","06"
417,"2012-08-10 03:15:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-10-15 14:42:51.573","Página web de RENCAP ","2012-10-09 17:21:02.450","06"
418,"2012-09-21 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-10-17 10:08:54.400","Página web de RENCAP ","2012-10-10 22:24:15.437","02"
419,"2012-06-10 04:00:00","Buenos Aires","Bragado","Bragado","Por ideologia","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-11-01 12:28:06.597","Página web de RENCAP ","2012-10-14 22:08:25.490","06"
420,"2012-01-10 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-10-17 10:20:10.167","Página web de RENCAP ","2012-10-16 09:52:11.097","02"
421,"2012-10-08 03:15:00","Buenos Aires","Lomas de Zamora","","","","En el interior del local - En el acceso local - En las proximidades del local","Controladores - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Desestimado","2012-10-17 10:37:21.160","Call Center","2012-10-16 14:55:11.517","06"
422,"2012-10-14 22:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-10-17 10:40:17.317","Call Center","2012-10-16 15:03:40.860","02"
423,"2012-10-13 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","Presencia de menores","","","","","Derivado","2012-10-17 10:43:53.643","Call Center","2012-10-16 15:10:30.207","02"
424,"2012-09-24 06:00:00","Buenos Aires","La Matanza","G. de Laferrere","","","En el interior del local","Controladores","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-10-22 10:08:29.740","Call Center","2012-10-19 14:50:00.813","06"
425,"2012-10-19 00:43:00","Tucumán","San Miguel de Tucumán","SAN MIGUEL DE TUCUMAN","Por aspecto físico - Por orientacion sexual","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-11-01 12:17:20.130","Página web de RENCAP ","2012-10-25 18:47:46.223","90"
426,"2012-10-25 03:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión física","Se hizo denuncia policial","Derivado","2012-10-31 13:50:04.573","Página web de RENCAP ","2012-10-26 00:06:48.203","02"
427,"2012-01-10 01:00:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-10-30 13:21:09.327","Página web de RENCAP ","2012-10-27 20:35:55.743","14"
428,"2012-08-09 02:00:00","Buenos Aires","Berisso","Berisso","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Derivado","2012-11-01 17:04:32.717","Página web de RENCAP ","2012-10-27 22:21:32.280","06"
429,"2012-10-26 02:00:00","Buenos Aires","San Miguel","San Miguel","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-11-01 12:32:01.007","Call Center","2012-10-31 12:57:22.947","06"
430,"2012-03-11 01:10:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado","En el acceso local","","Agresión verbal","","Derivado","2012-12-04 14:27:11.317","Página web de RENCAP ","2012-11-03 16:36:56.713","02"
431,"2012-10-28 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el interior del local","","Agresión física","Se hizo denuncia policial","Derivado","2012-11-06 12:45:19.867","Página web de RENCAP ","2012-11-04 12:31:22.097","02"
432,"2012-10-31 23:00:00","Buenos Aires","Moreno","Paso del Rey","Por aspecto físico","","","Personas vinculadas a la empresa","","","Desestimado","2012-11-07 11:47:28.723","Call Center","2012-11-05 14:00:12.270","06"
433,"2012-11-04 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-11-06 13:00:36.437","Call Center","2012-11-05 17:36:11.680","02"
434,"2012-04-11 05:30:00","Buenos Aires","Zárate","Zárate","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En las proximidades del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-11-13 12:08:23.407","Página web de RENCAP ","2012-11-07 01:25:00.247","06"
435,"2012-11-04 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Desestimado","2012-11-12 14:15:38.977","Call Center","2012-11-07 15:00:55.773","02"
436,"2012-11-11 05:00:00","Buenos Aires","Avellaneda","Avellaneda","","","En el interior del local - En las proximidades del local","Controladores","Agresión física","Se solicitó asistencia policial","Derivado","2012-11-16 11:37:59.940","Call Center","2012-11-14 11:07:41.577","06"
437,"2012-11-18 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","","En el acceso local","Controladores","","","Derivado","2012-11-20 10:28:31.647","Call Center","2012-11-19 17:43:05.450","02"
438,"2012-11-17 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-11-22 10:40:07.347","Call Center","2012-11-21 12:35:54.777","02"
439,"2012-10-13 01:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-11-22 10:46:16.817","Call Center","2012-11-21 12:42:45.180","06"
440,"2012-11-17 04:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-11-22 10:53:19.027","Call Center","2012-11-21 12:52:14.357","06"
441,"2012-11-17 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-12-04 14:22:18.763","Call Center","2012-11-21 17:58:27.937","02"
442,"2012-03-12 00:05:00","Buenos Aires","Morón","Haedo","","El personal de control no esta identificado - Presencia de menores","","","","","Desestimado","2012-12-05 12:42:53.660","Página web de RENCAP ","2012-11-25 20:26:42.780","06"
443,"2012-11-28 00:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-11-29 11:38:48.953","Call Center","2012-11-28 12:09:13.653","06"
444,"2012-02-11 22:00:00","Santa Fé","Rafaela","Rafaela","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el interior del local","","","","Derivado","2015-11-19 15:18:14.647","Página web de RENCAP ","2012-12-01 01:13:36.970","82"
445,"2012-02-12 02:00:00","Misiones","Posadas","POSADAS","Por indumentaria","El personal de control no esta identificado","","","","","Desestimado","2012-12-20 13:48:19.247","Página web de RENCAP ","2012-12-02 03:30:24.213","54"
446,"2012-02-12 02:15:00","San Juan","San Juan","SAN JUAN","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-12-21 13:45:03.030","Página web de RENCAP ","2012-12-04 12:21:42.830","70"
447,"2012-11-17 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria - Racial","","En el acceso local","Controladores","","","Derivado","2012-12-04 14:37:36.613","Call Center","2012-12-04 13:49:13.727","02"
448,"2012-12-02 05:30:00","Buenos Aires","San Miguel","San Miguel","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-12-10 10:11:30.387","Call Center","2012-12-05 12:38:09.117","06"
449,"2012-12-02 02:00:00","Buenos Aires","San Miguel","","Por aspecto físico - Por orientacion sexual","","","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-12-10 10:04:36.240","Call Center","2012-12-05 15:29:53.507","06"
450,"2012-12-08 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2012-12-19 12:55:05.893","Call Center","2012-12-10 13:27:32.600","02"
451,"2012-12-08 00:00:00","Buenos Aires","Necochea","Necochea","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-12-11 14:14:52.847","Call Center","2012-12-10 16:02:48.270","06"
452,"2012-11-28 23:15:00","Ciudad Autónoma de Buenos Aires","Barrio Balvanera","","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-12-20 15:33:00.000","Call Center","2012-12-13 14:46:52.220","02"
453,"2012-12-15 01:45:00","Buenos Aires","Lomas de Zamora","Temperley","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-12-27 10:54:50.490","Call Center","2012-12-18 15:02:09.997","06"
454,"2012-12-15 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-12-20 13:53:59.073","Call Center","2012-12-18 15:02:27.750","02"
455,"2012-12-15 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Desestimado","2012-12-20 13:45:58.317","Página web de RENCAP ","2012-12-19 12:51:21.967","02"
456,"2012-12-16 05:00:00","Chubut","Trelew","TRELEW","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","Se solicitó asistencia policial","Derivado","2013-01-03 11:51:10.333","Página web de RENCAP ","2012-12-19 19:07:47.797","26"
457,"2012-12-08 02:30:00","Buenos Aires","La Plata","La Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Desestimado","2012-12-28 14:36:52.633","Página web de RENCAP ","2012-12-22 01:07:45.063","06"
458,"2012-12-21 02:15:00","Buenos Aires","La Plata","Barrio Ruta Sol","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-12-27 11:01:31.500","Página web de RENCAP ","2012-12-22 16:18:52.140","06"
459,"2012-12-23 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por indumentaria","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-12-28 14:40:54.010","Página web de RENCAP ","2012-12-26 15:31:20.073","02"
460,"2012-12-25 04:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","","","","Derivado","2013-01-03 11:59:40.827","Página web de RENCAP ","2012-12-28 14:21:00.813","26"
461,"2012-12-25 04:00:00","Chubut","Trelew","TRELEW","Por aspecto físico","El personal de control no esta identificado","","","","","Desestimado","2012-12-28 14:45:41.423","Página web de RENCAP ","2012-12-28 14:33:16.933","26"
462,"2013-01-01 05:00:00","Santiago del Estero","Santiago del Estero","SANTIAGO DEL ESTERO","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","","","Derivado","2013-01-08 13:43:09.403","Página web de RENCAP ","2013-01-01 22:23:15.747","86"
463,"2012-12-30 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-01-08 13:49:29.443","Call Center","2013-01-07 17:22:51.017","02"
